method,biomarker1,biomarker2,r
CovBat,FA,MTR,0.10035549283254158
CovBat,FA,MTsat,-0.11490043965768502
CovBat,FA,FA,1.0
CovBat,FA,MD,-0.7802194094816762
CovBat,FA,AD,-0.4984124870729124
CovBat,FA,RD,-0.8940567112267905
CovBat,MD,T2w_CSA,-0.15678730942239755
CovBat,MD,GM_CSA_mm2,-0.042840969198277574
CovBat,MD,MTR,-0.09985767448372444
CovBat,MD,MTsat,0.1218986088613316
CovBat,MD,FA,-0.7802194094816761
CovBat,MD,MD,1.0
CovBat,MD,AD,0.9301360114937188
CovBat,MD,RD,0.9774396854938027
CovBat,AD,T2w_CSA,-0.1969408119555261
CovBat,AD,GM_CSA_mm2,-0.04142950368532018
CovBat,AD,MTR,-0.04551541233969061
CovBat,AD,MTsat,0.12482655876002469
CovBat,AD,FA,-0.49841248707291247
CovBat,AD,MD,0.9301360114937188
CovBat,AD,AD,0.9999999999999998
CovBat,AD,RD,0.8324142106500865
CovBat,RD,T2w_CSA,-0.1425302795698349
CovBat,RD,GM_CSA_mm2,-0.06463350472794917
CovBat,RD,MTR,-0.11521292302946692
CovBat,RD,MTsat,0.10792534761604151
CovBat,RD,FA,-0.8940567112267905
CovBat,RD,MD,0.9774396854938027
CovBat,RD,AD,0.8324142106500864
CovBat,RD,RD,1.0
RELIEF,T2w_CSA,T2w_CSA,1.0
RELIEF,T2w_CSA,GM_CSA_mm2,0.9254466819586724
RELIEF,T2w_CSA,MTR,0.14647494851263737
RELIEF,T2w_CSA,MTsat,0.03805023530119457
RELIEF,T2w_CSA,FA,0.10789779147343262
RELIEF,T2w_CSA,MD,-0.15044927310583045
RELIEF,T2w_CSA,AD,-0.17840247462929154
RELIEF,T2w_CSA,RD,-0.1435194804551173
RELIEF,GM_CSA_mm2,T2w_CSA,0.9254466819586725
RELIEF,GM_CSA_mm2,GM_CSA_mm2,1.0
RELIEF,GM_CSA_mm2,MTR,0.13531663138390496
RELIEF,GM_CSA_mm2,MTsat,0.2969181470254805
RELIEF,GM_CSA_mm2,FA,0.10131670908688115
RELIEF,GM_CSA_mm2,MD,-0.031223292363343983
RELIEF,GM_CSA_mm2,AD,-0.01707751938208146
RELIEF,GM_CSA_mm2,RD,-0.061421611253898556
RELIEF,MTR,T2w_CSA,0.14647494851263737
RELIEF,MTR,GM_CSA_mm2,0.13531663138390496
RELIEF,MTR,MTR,1.0
RELIEF,MTR,MTsat,0.6308511875904669
RELIEF,MTR,FA,0.0845836634416103
RELIEF,MTR,MD,-0.11674019381905913
RELIEF,MTR,AD,-0.07712889340214114
RELIEF,MTR,RD,-0.1219334690437689
RELIEF,MTsat,T2w_CSA,0.03805023530119457
RELIEF,MTsat,GM_CSA_mm2,0.2969181470254805
RELIEF,MTsat,MTR,0.6308511875904669
RELIEF,MTsat,MTsat,0.9999999999999999
RELIEF,MTsat,FA,-0.12757115943362482
RELIEF,MTsat,MD,0.11423379754199094
RELIEF,MTsat,AD,0.10631265408568964
RELIEF,MTsat,RD,0.10731557132362149
RELIEF,FA,T2w_CSA,0.10789779147343262
RELIEF,FA,GM_CSA_mm2,0.10131670908688113
RELIEF,FA,MTR,0.0845836634416103
RELIEF,FA,MTsat,-0.12757115943362482
RELIEF,FA,FA,1.0
RELIEF,FA,MD,-0.7710705424105261
RELIEF,FA,AD,-0.4855046139255511
RELIEF,FA,RD,-0.889243651211587
RELIEF,MD,T2w_CSA,-0.15044927310583045
RELIEF,MD,GM_CSA_mm2,-0.031223292363343987
RELIEF,MD,MTR,-0.11674019381905913
RELIEF,MD,MTsat,0.11423379754199094
RELIEF,MD,FA,-0.7710705424105261
RELIEF,MD,MD,1.0
RELIEF,MD,AD,0.9300188914535302
RELIEF,MD,RD,0.9766328993685987
RELIEF,AD,T2w_CSA,-0.17840247462929154
RELIEF,AD,GM_CSA_mm2,-0.01707751938208146
RELIEF,AD,MTR,-0.07712889340214114
RELIEF,AD,MTsat,0.10631265408568963
RELIEF,AD,FA,-0.48550461392555105
RELIEF,AD,MD,0.9300188914535302
RELIEF,AD,AD,0.9999999999999998
RELIEF,AD,RD,0.8301352253669708
RELIEF,RD,T2w_CSA,-0.1435194804551173
RELIEF,RD,GM_CSA_mm2,-0.061421611253898556
RELIEF,RD,MTR,-0.12193346904376888
RELIEF,RD,MTsat,0.10731557132362149
RELIEF,RD,FA,-0.889243651211587
RELIEF,RD,MD,0.9766328993685987
RELIEF,RD,AD,0.8301352253669709
RELIEF,RD,RD,1.0
LME/FE,T2w_CSA,T2w_CSA,1.0
LME/FE,T2w_CSA,GM_CSA_mm2,0.7498099958009813
LME/FE,T2w_CSA,MTR,0.036547934378478295
LME/FE,T2w_CSA,MTsat,0.09649220887740872
LME/FE,T2w_CSA,FA,0.14022474829255452
LME/FE,T2w_CSA,MD,-0.16618490991260612
LME/FE,T2w_CSA,AD,-0.13177812743855
LME/FE,T2w_CSA,RD,-0.16867833684742073
LME/FE,GM_CSA_mm2,T2w_CSA,0.7498099958009813
LME/FE,GM_CSA_mm2,GM_CSA_mm2,1.0
LME/FE,GM_CSA_mm2,MTR,0.09056638924010971
LME/FE,GM_CSA_mm2,MTsat,0.2560649804589268
LME/FE,GM_CSA_mm2,FA,0.06404805880995464
LME/FE,GM_CSA_mm2,MD,-0.059862112501022684
LME/FE,GM_CSA_mm2,AD,-0.008550724141843175
LME/FE,GM_CSA_mm2,RD,-0.07968576487493681
LME/FE,MTR,T2w_CSA,0.0365479343784783
LME/FE,MTR,GM_CSA_mm2,0.09056638924010971
LME/FE,MTR,MTR,1.0
LME/FE,MTR,MTsat,0.4804148020107211
LME/FE,MTR,FA,0.042613568118127186
LME/FE,MTR,MD,-0.14500408448367436
LME/FE,MTR,AD,-0.19125925723632248
LME/FE,MTR,RD,-0.11044423555291578
LME/FE,MTsat,T2w_CSA,0.09649220887740872
LME/FE,MTsat,GM_CSA_mm2,0.2560649804589268
LME/FE,MTsat,MTR,0.4804148020107211
LME/FE,MTsat,MTsat,1.0
LME/FE,MTsat,FA,-0.12215696786410253
LME/FE,MTsat,MD,0.12918186879736307
LME/FE,MTsat,AD,0.14056100249503675
LME/FE,MTsat,RD,0.11243285525191768
LME/FE,FA,T2w_CSA,0.14022474829255452
LME/FE,FA,GM_CSA_mm2,0.06404805880995464
LME/FE,FA,MTR,0.042613568118127186
LME/FE,FA,MTsat,-0.12215696786410253
LME/FE,FA,FA,1.0
LME/FE,FA,MD,-0.8026978595280142
LME/FE,FA,AD,-0.45859784015990546
LME/FE,FA,RD,-0.8995823053629896
LME/FE,MD,T2w_CSA,-0.16618490991260615
LME/FE,MD,GM_CSA_mm2,-0.05986211250102269
LME/FE,MD,MTR,-0.14500408448367436
LME/FE,MD,MTsat,0.12918186879736304
LME/FE,MD,FA,-0.8026978595280142
LME/FE,MD,MD,1.0
LME/FE,MD,AD,0.8772296312820369
LME/FE,MD,RD,0.9723754029286561
LME/FE,AD,T2w_CSA,-0.13177812743855
LME/FE,AD,GM_CSA_mm2,-0.008550724141843175
LME/FE,AD,MTR,-0.19125925723632245
LME/FE,AD,MTsat,0.14056100249503675
LME/FE,AD,FA,-0.45859784015990546
LME/FE,AD,MD,0.877229631282037
LME/FE,AD,AD,0.9999999999999999
LME/FE,AD,RD,0.7412643411743415
LME/FE,RD,T2w_CSA,-0.16867833684742073
LME/FE,RD,GM_CSA_mm2,-0.07968576487493681
LME/FE,RD,MTR,-0.1104442355529158
LME/FE,RD,MTsat,0.11243285525191768
LME/FE,RD,FA,-0.8995823053629897
LME/FE,RD,MD,0.9723754029286562
LME/FE,RD,AD,0.7412643411743415
LME/FE,RD,RD,1.0
