seed,method,eta2,R2_perm,p_perm,r_pre_post,r_within,age_R2,age_R2_gain,n
3,ComBat-joint,0.0011806056853309746,0.0011806056853311774,1.0,0.7619047787033464,0.9989335780066421,0.009278559904175284,0.005744715748103358,98
3,CovBat,0.0012963959604346703,0.0012963959604348344,1.0,0.7505168685665242,0.9936349541343397,0.009709731598007986,0.00617588744193606,98
3,RELIEF,0.0010960466019338314,0.0010960466019342067,1.0,0.7609655820272518,0.9962045568214354,0.009378690745345985,0.005844846589274059,98
3,LME,0.00035769099569458014,0.0003576909956945496,1.0,0.7701115621329463,1.0,0.009997567807664101,0.006463723651592175,98
4,Original,0.3943883190213644,0.3943883190213642,0.001,1.0,1.0,0.005253947909944719,0.0,98
4,ComBat,0.00025048503688375955,0.00025048503688361617,1.0,0.7207318578862166,0.9966442640064402,0.018154635045510542,0.012900687135565823,98
4,ComBat-joint,0.0009513101795989721,0.0009513101795988051,1.0,0.7522039156488949,0.99777428588416,0.017545622494898678,0.01229167458495396,98
4,CovBat,0.0006216341533953991,0.0006216341533953703,1.0,0.7175968842404361,0.9541928133023548,0.021466177772824502,0.016212229862879783,98
4,RELIEF,0.0008005857948877748,0.0008005857948878472,1.0,0.7328581374669605,0.9606945789267732,0.02068115958379588,0.015427211673851162,98
4,LME,0.0002438466678799225,0.00024384666787998483,1.0,0.7637450670696047,1.0,0.01779774338998963,0.01254379548004491,98
5,Original,0.36243041782384,0.36243041782383983,0.001,1.0,1.0,0.0035837663455495893,0.0,98
5,ComBat,0.0006837686280179839,0.0006837686280180475,1.0,0.7533246354694909,0.998814961709948,0.008262285768987774,0.004678519423438185,98
5,ComBat-joint,0.001369487805813226,0.0013694878058132657,1.0,0.7828226741381,0.9993352781889909,0.008453402131387882,0.004869635785838293,98
5,CovBat,0.0012151138518500114,0.0012151138518503308,1.0,0.7752438528112793,0.995380156275877,0.008207964566163213,0.004624198220613624,98
5,RELIEF,0.00129150154723027,0.0012915015472300957,1.0,0.7814090389540123,0.997287992315348,0.008543682238658385,0.004959915893108796,98
5,LME,0.0005930674479546162,0.0005930674479544121,1.0,0.7873926813752515,1.0,0.010015590659082411,0.006431824313532822,98
6,Original,0.3725556338031851,0.372555633803185,0.001,1.0,1.0,0.004364952778253826,0.0,98
6,ComBat,0.002675947010406329,0.002675947010406294,1.0,0.7441282013852675,0.997452231352513,0.013953621709718173,0.009588668931464346,98
6,ComBat-joint,0.0023869387824142748,0.002386938782413901,1.0,0.7707615627405497,0.9983890007736629,0.014553138253670205,0.010188185475416379,98
