seed,method,eta2,R2_perm,p_perm,r_pre_post,r_within,age_R2,age_R2_gain,n
3,ComBat,0.0007223681995983697,0.0007223681995983117,1.0,0.7433556028736081,0.9978896076217724,0.006215001379280145,0.002877999094292845,75
3,ComBat-joint,0.002410678531671378,0.0024106785316712377,1.0,0.7786031698142735,0.9987964370259275,0.006187018716597968,0.002850016431610668,75
3,CovBat,0.0023353428612944292,0.0023353428612947857,1.0,0.7497511127468602,0.9739307842597285,0.007469090266277826,0.004132087981290526,75
3,RELIEF,0.00223743680320817,0.002237436803208084,0.999,0.7621105041324077,0.9753986782487777,0.006534163781156247,0.003197161496168947,75
3,LME,0.00081050735096977,0.0008105073509697529,1.0,0.7786794415371653,1.0,0.007841710473367947,0.0045047081883806475,75
4,Original,0.4092816965834511,0.40928169658345076,0.001,1.0,1.0,0.01356669288417281,0.0,75
4,ComBat,0.0004584307596869812,0.0004584307596869999,1.0,0.7179692978626755,0.9919785510792837,0.01854103647051046,0.004974343586337651,75
4,ComBat-joint,0.0014347911217728337,0.0014347911217727947,1.0,0.7550565374072916,0.9957230684435485,0.02110707465192272,0.007540381767749911,75
4,CovBat,0.001152557037979645,0.0011525570379797045,1.0,0.7212432558759196,0.9602490922970391,0.021785569046212323,0.008218876162039514,75
4,RELIEF,0.001116874020333778,0.0011168740203335874,1.0,0.73383425689648,0.9629546017287254,0.022683379882077217,0.009116686997904407,75
4,LME,0.00048198631452088037,0.0004819863145214261,1.0,0.7597259215271441,1.0,0.0261087927688444,0.01254209988467159,75
5,Original,0.37828750787474075,0.3782875078747408,0.001,1.0,1.0,0.008218086275152435,0.0,75
5,ComBat,0.002156401821157744,0.002156401821157866,1.0,0.7272582899180674,0.9967265616060077,0.012454484016096825,0.00423639774094439,75
5,ComBat-joint,0.002818685722423001,0.0028186857224229323,1.0,0.7683119007084123,0.9982335027829631,0.0123161947752077,0.004098108500055264,75
5,CovBat,0.003099686152147954,0.003099686152147949,1.0,0.7558803543425496,0.9931963831772119,0.013798348456911982,0.005580262181759547,75
5,RELIEF,0.0027388513519389576,0.0027388513519389333,1.0,0.7668207226071401,0.9963562718998246,0.012451802676227225,0.00423371640107479,75
5,LME,0.0015444704370428458,0.0015444704370429466,1.0,0.776838358257279,1.0,0.014884817247167156,0.006666730972014721,75
6,Original,0.3874324936892284,0.38743249368922816,0.001,1.0,1.0,0.003086892487644043,0.0,75
6,ComBat,0.0028870686407202386,0.0028870686407200686,1.0,0.7192269691592634,0.9946032410111846,0.007757256071144274,0.004670363583500231,75
6,ComBat-joint,0.0031333062358931516,0.0031333062358930874,1.0,0.7616060642668194,0.9970969825360374,0.008102293807988773,0.00501540132034473,75
6,CovBat,0.0028997565410552777,0.0028997565410552786,1.0,0.7397120473598754,0.9767645056240073,0.008609915933902116,0.005523023446258073,75
6,RELIEF,0.0030366885708681913,0.0030366885708680985,1.0,0.7459367214542659,0.9778104319957137,0.008371823985115667,0.0052849314974716234,75
6,LME,0.002013013856392527,0.002013013856392452,1.0,0.7744414085476399,1.0,0.013494736619776765,0.01040784413213272,75
7,Original,0.4169522533641936,0.41695225336419334,0.001,1.0,1.0,0.004692494774628719,0.0,75
7,ComBat,0.0006825843923902531,0.0006825843923902158,1.0,0.7122049980431338,0.9973418395531516,0.008625868046253461,0.003933373271624742,75
7,ComBat-joint,0.001530089513432097,0.001530089513432244,1.0,0.7467681339626475,0.9986575056634969,0.008068708318128842,0.003376213543500123,75
7,CovBat,0.000989475097223484,0.0009894750972233625,1.0,0.7302858618539727,0.9947923566484036,0.009300245228410975,0.0046077504537822556,75
7,RELIEF,0.0014349207360368288,0.0014349207360368154,1.0,0.7455692725661067,0.9964796770889014,0.008183077100941627,0.003490582326312908,75
7,LME,0.0007486298628637962,0.0007486298628636709,1.0,0.7514038629362715,1.0,0.009196983689706572,0.004504488915077853,75
8,Original,0.4047806445406107,0.40478064454061086,0.001,1.0,1.0,0.007895418992716972,0.0,75
8,ComBat,0.000678865150976441,0.0006788651509767379,1.0,0.7109341138129774,0.9948557743747036,0.009997861568879943,0.002102442576162971,75
8,ComBat-joint,0.0013911120228008301,0.0013911120228008637,1.0,0.7482066274803849,0.9976033251936824,0.012283113129364923,0.004387694136647951,75
8,CovBat,0.0007272831861211976,0.0007272831861215916,1.0,0.7202841584298066,0.9651818273292468,0.012503028982300341,0.004607609989583369,75
8,RELIEF,0.0009782730556763242,0.0009782730556761028,1.0,0.7297666892139341,0.9716013293548795,0.012973170689099778,0.005077751696382806,75
8,LME,0.0005545792908374053,0.0005545792908372959,1.0,0.7589635015143049,1.0,0.020379706508630545,0.012484287515913572,75
9,Original,0.3778779051900352,0.3778779051900353,0.001,1.0,1.0,0.011370272370825996,0.0,75
9,ComBat,0.0009661540082624227,0.0009661540082625685,1.0,0.7283159288464632,0.9875184913460839,0.029015382844814672,0.017645110473988677,75
9,ComBat-joint,0.0016278132956122815,0.001627813295612365,1.0,0.7677534645252531,0.9942533033130422,0.031277180217604575,0.01990690784677858,75
9,CovBat,0.0014481558335641192,0.0014481558335639494,1.0,0.7273754651373625,0.959734914430188,0.034211569918645934,0.02284129754781994,75
9,RELIEF,0.0013304267011507867,0.0013304267011507896,1.0,0.7514621036602696,0.9701347462992507,0.032610746037162644,0.02124047366633665,75
9,LME,0.0017148305071007033,0.001714830507100563,1.0,0.7782403097693333,1.0,0.03247129812571235,0.021101025754886357,75
10,Original,0.4054808252584655,0.4054808252584655,0.001,1.0,1.0,0.011096731426522868,0.0,75
10,ComBat,0.0004636723659129688,0.00046367236591284683,1.0,0.7247568430491335,0.9969111840144654,0.001633296589817766,-0.0094634348367051,75
10,ComBat-joint,0.0024375691729920748,0.0024375691729920843,1.0,0.7613878082624967,0.9981161863507572,0.0037660576515520412,-0.0073306737749708265,75
10,CovBat,0.0021631696480625484,0.0021631696480623455,1.0,0.7378166047274785,0.9711532983294373,0.0038998607348054676,-0.0071968706917174,75
10,RELIEF,0.002398350233532004,0.0023983502335319902,1.0,0.7447682023427982,0.9730759598417028,0.00418405566220633,-0.006912675764316538,75
10,LME,0.0006539615287346052,0.0006539615287349911,1.0,0.7651636689292003,1.0,0.00631052252124915,-0.004786208905273718,75
11,Original,0.3757415830574049,0.37574158305740485,0.001,1.0,1.0,0.014053242596573841,0.0,75
11,ComBat,0.002598861531805589,0.0025988615318054066,1.0,0.7351835049482371,0.9940181440192731,0.01847270297765296,0.004419460381079118,75
11,ComBat-joint,0.003917851359790701,0.003917851359790537,1.0,0.7761113800630446,0.9969502141883845,0.021875232537275857,0.007821989940702016,75
11,CovBat,0.004050924727119332,0.004050924727119613,0.996,0.7523679419449377,0.9658253924216322,0.021762242566238894,0.0077089999696650525,75
11,RELIEF,0.003923463009914926,0.0039234630099144845,0.998,0.7619278465078398,0.9731500031400198,0.02304415893757666,0.00899091634100282,75
