method,biomarker1,biomarker2,r
LME/FE,AD,MTR,-0.19915122168497887
LME/FE,AD,MTsat,0.1338364019882216
LME/FE,AD,FA,-0.4079011306007802
LME/FE,AD,MD,0.8658667501324279
LME/FE,AD,AD,1.0
LME/FE,AD,RD,0.7169476456872467
LME/FE,RD,T2w_CSA,-0.19975410720313902
LME/FE,RD,GM_CSA_mm2,-0.11088087595434734
LME/FE,RD,MTR,-0.10998643892972823
LME/FE,RD,MTsat,0.09578260401852248
LME/FE,RD,FA,-0.8942266483275297
LME/FE,RD,MD,0.9694860907316993
LME/FE,RD,AD,0.7169476456872467
LME/FE,RD,RD,1.0
