cohort,method,biomarker,eta2_pre,eta2_post,reduction_pct
HC,RELIEF,RD,0.2927222569275149,5.313474446539364e-05,99.98184806819164
HC,LME,T2w_CSA,0.05296825543532277,0.004194349095599623,92.08139089889195
HC,LME,GM_CSA_mm2,0.17609760055733575,0.0005087722873988335,99.7110850540901
HC,LME,MTR,0.20523486118563375,0.0001011598145196557,99.95071021855875
HC,LME,MTsat,0.3353145772105536,4.77635992284938e-05,99.98575558521021
HC,LME,FA,0.29022929596431996,0.0001282236581555448,99.95581987761453
HC,LME,MD,0.46456444285507087,0.00032124085235724987,99.93085117526796
HC,LME,AD,0.7003492296445732,0.0005328236008019318,99.92392029886685
HC,LME,RD,0.2927222569275149,0.0005069951245182962,99.82679994003878
ALL,ComBat,T2w_CSA,0.044064294293710914,3.678449131276642e-05,99.91652086592472
ALL,ComBat,GM_CSA_mm2,0.16734870424450965,2.09069099365093e-05,99.98750697829965
ALL,ComBat,MTR,0.24276593150470108,2.1006575963508473e-05,99.99134698356012
ALL,ComBat,MTsat,0.3596295727688294,5.249115461622356e-07,99.9998540410506
ALL,ComBat,FA,0.31156985495553435,0.00011092594389625869,99.96439772907038
ALL,ComBat,MD,0.5063899023843573,0.0006139521768360953,99.87875900093086
ALL,ComBat,AD,0.736249213219337,0.0006636975845309008,99.90985422155784
ALL,ComBat,RD,0.31988710416923594,0.0004801566285092978,99.8498980977191
ALL,ComBat-joint,T2w_CSA,0.044064294293710914,1.8209120830149978e-05,99.9586760184816
ALL,ComBat-joint,GM_CSA_mm2,0.16734870424450965,8.191757633576581e-05,99.95104976957809
ALL,ComBat-joint,MTR,0.24276593150470108,0.00035050694627897884,99.85561938443897
ALL,ComBat-joint,MTsat,0.3596295727688294,0.0005092972331192314,99.85838282730809
ALL,ComBat-joint,FA,0.31156985495553435,0.00032289515811595616,99.89636508379091
ALL,ComBat-joint,MD,0.5063899023843573,0.00027877636829683834,99.94494827661764
ALL,ComBat-joint,AD,0.736249213219337,0.00010457455373108931,99.98579631029094
ALL,ComBat-joint,RD,0.31988710416923594,0.0003540656160057848,99.88931544554592
ALL,CovBat,T2w_CSA,0.044064294293710914,0.00010685956054064389,99.75749172373357
ALL,CovBat,GM_CSA_mm2,0.16734870424450965,0.00010013938489230596,99.94016124275095
ALL,CovBat,MTR,0.24276593150470108,8.696642902484986e-05,99.96417683960603
ALL,CovBat,MTsat,0.3596295727688294,0.00043267032104148535,99.87969000499311
ALL,CovBat,FA,0.31156985495553435,0.00039857698502338836,99.87207459942482
ALL,CovBat,MD,0.5063899023843573,0.00042041860667778146,99.91697729265567
ALL,CovBat,AD,0.736249213219337,0.00045015787837774214,99.93885794778518
ALL,CovBat,RD,0.31988710416923594,0.0004392077543346751,99.8626991370986
ALL,RELIEF,T2w_CSA,0.044064294293710914,0.00010005278123898051,99.77293910445478
ALL,RELIEF,GM_CSA_mm2,0.16734870424450965,1.3445812607709663e-05,99.99196539186342
ALL,RELIEF,MTR,0.24276593150470108,0.0003188611009576459,99.86865492246739
ALL,RELIEF,MTsat,0.3596295727688294,0.0003633351937642157,99.89896960059016
ALL,RELIEF,FA,0.31156985495553435,0.000295224770568453,99.90524604165876
ALL,RELIEF,MD,0.5063899023843573,0.00021844160674570114,99.95686296158016
ALL,RELIEF,AD,0.736249213219337,0.00030135770146408455,99.95906851972767
ALL,RELIEF,RD,0.31988710416923594,0.00023387710116109725,99.92688761187529
ALL,LME,T2w_CSA,0.044064294293710914,3.6527901320808093e-05,99.91710317410887
ALL,LME,GM_CSA_mm2,0.16734870424450965,2.0623324150631815e-05,99.98767643631079
ALL,LME,MTR,0.24276593150470108,2.0710028199112428e-05,99.99146913734116
ALL,LME,MTsat,0.3596295727688294,0.0001530446167863689,99.95744381764601
ALL,LME,FA,0.31156985495553435,0.00035474992455367083,99.88614112729093
ALL,LME,MD,0.5063899023843573,0.00028845141677971784,99.9430376839227
ALL,LME,AD,0.736249213219337,0.00046765016645310175,99.93648208268934
ALL,LME,RD,0.31988710416923594,0.0004719368570756635,99.85246768284038
