cohort,method,biomarker,n,vendor_F,vendor_p,vendor_eta2,vendor_ICC,age_R2,sex_R2,r_pre_post
ALL,ComBat-joint,MTR,246,0.042601526103718666,0.9583003243525671,0.00035050694627897884,-0.011813520986094034,0.00034458777678769703,0.0006197534543599392,0.7995358062153064
ALL,ComBat-joint,MTsat,246,0.061911144998834704,0.9399812255522777,0.0005092972331192314,-0.011572498621740701,0.0001966471371513956,0.004020388396722252,0.791924082440482
ALL,ComBat-joint,FA,246,0.03924443354866413,0.9615217464966908,0.00032289515811595616,-0.011855435883772891,0.007117710214010198,0.010249331343805568,0.8296552425871899
ALL,ComBat-joint,MD,246,0.03388077390716946,0.9666913177417171,0.00027877636829683834,-0.01192241093313056,0.038436074902964634,0.01599801601968165,0.684233057925855
ALL,ComBat-joint,AD,246,0.012707137121521342,0.9873739137111512,0.00010457455373108931,-0.012186888918640804,0.046619219540479984,0.015903094146754837,0.5032583618160551
ALL,ComBat-joint,RD,246,0.043034209278521245,0.9578859196258003,0.0003540656160057848,-0.011808118983431617,0.03073837408838065,0.013714854150861933,0.7972977028817531
ALL,CovBat,T2w_CSA,246,0.012984824158291601,0.9870997998171455,0.00010685956054064389,-0.012183419460276174,0.0005346361374906072,0.12117850959219267,0.9348134390835999
ALL,CovBat,GM_CSA_mm2,246,0.01216815377584821,0.9879061807484241,0.00010013938489230596,-0.012193623115345657,0.0001415336451118243,0.08977168412341896,0.8557663794625965
ALL,CovBat,MTR,246,0.01056734013035497,0.9894887527384163,8.696642902484986e-05,-0.012213624621531421,0.0001225772692472482,0.0006058329042313293,0.760579486343234
ALL,CovBat,MTsat,246,0.05259219909020591,0.9487776378365195,0.00043267032104148535,-0.011688803222760214,0.0003803755851699009,0.0040487463980284355,0.7779978046345414
ALL,CovBat,FA,246,0.048446413305690425,0.9527175899190456,0.00039857698502338836,-0.011740553074168386,0.005745598861423895,0.01101612900686555,0.8213270457589811
ALL,CovBat,MD,246,0.051102345088068546,0.950191627668215,0.00042041860667778146,-0.011707399744815878,0.03998438734770793,0.01732589607716639,0.6774645878767894
ALL,CovBat,AD,246,0.05471881432825558,0.9467629854972657,0.00045015787837774214,-0.011662259761052174,0.05283299112578599,0.017735318463237504,0.4846990159569261
ALL,CovBat,RD,246,0.053387190219590736,0.9480239963245618,0.0004392077543346751,-0.01167888033548627,0.030696631952589204,0.014894758025135957,0.7900768624516119
ALL,RELIEF,T2w_CSA,246,0.012157629325165282,0.9879165769322883,0.00010005278123898051,-0.012193754611434428,0.00043252645446012483,0.12459712903461684,0.9360822229606685
ALL,RELIEF,GM_CSA_mm2,246,0.0016336881981017372,0.9983676565093109,1.3445812607709663e-05,-0.012325261434169805,0.00021854061968551441,0.09210714081050742,0.8592171379468658
ALL,RELIEF,MTR,246,0.03875398090337395,0.9619932916495035,0.0003188611009576459,-0.011861559709113302,0.00034655276569883764,0.0006232875572728114,0.7935234463757505
ALL,RELIEF,MTsat,246,0.04416127138644852,0.9568073176757028,0.0003633351937642157,-0.011794048005664554,0.00020218777337333016,0.0041336649483108,0.7811449968463222
ALL,RELIEF,FA,246,0.0358804024076362,0.9647607792793494,0.000295224770568453,-0.011897440896609542,0.00716997122977292,0.010324585948279341,0.826475263918692
ALL,RELIEF,MD,246,0.026546454069682313,0.973805629359346,0.00021844160674570114,-0.012014007612704115,0.038553876466979387,0.01604704785534594,0.6858577877864149
ALL,RELIEF,AD,246,0.03662599825453184,0.9640419401514924,0.00030135770146408455,-0.011888130704827424,0.04802047081560701,0.01638109938088872,0.49301291234223427
ALL,RELIEF,RD,246,0.02842271521331367,0.9719806411396296,0.00023387710116109725,-0.01199057382866061,0.0310359271032824,0.01384761641700627,0.8000932336096509
ALL,LME,T2w_CSA,246,0.004438302132339947,0.9955716132783292,3.6527901320808093e-05,-0.012290211730799108,0.0005456726379078347,0.11002529909347292,0.9785744630501293
ALL,LME,GM_CSA_mm2,246,0.0025057855619306257,0.9974973770723901,2.0623324150631815e-05,-0.012314362435635494,0.0001924973588397494,0.08320863288992408,0.9133553636935936
ALL,LME,MTR,246,0.0025163205392627185,0.9974868687326633,2.0710028199112428e-05,-0.01231423077665321,0.00156028568790334,1.6307986466457258e-05,0.8708021960705189
ALL,LME,MTsat,246,0.018597767227701137,0.9815755011151792,0.0001530446167863689,-0.012113295710102726,0.00016126969838092808,0.005707490939976911,0.8072639254032101
ALL,LME,FA,246,0.04311741173182853,0.9578062527261639,0.00035474992455367083,-0.011807080216408992,0.006738913222217091,0.010559511903205254,0.836004353611099
ALL,LME,MD,246,0.035056959368335666,0.9655552999649231,0.00028845141677971784,-0.01190772335873716,0.04003498890407342,0.017170141531120064,0.6904316992589191
ALL,LME,AD,246,0.056846079302497944,0.9447520326901572,0.00046765016645310175,-0.011635709583059265,0.04417531110568085,0.015983731471758023,0.49615460458406624
ALL,LME,RD,246,0.05736740192605826,0.9442598717030448,0.0004719368570756635,-0.011629203220971433,0.0314081663415251,0.014611383544849588,0.8133519240249804
