fold,method,biomarker,shift_sd,abs_shift_sd,var_ratio,n_train,n_test,mean_abs_shift_sd,max_abs_shift_sd,centroid_shift_sd
Siemens,ComBat-joint,AD,2.2760215897423083e-15,2.2760215897423083e-15,1.0,58.0,130.0,,,
Siemens,ComBat-joint,RD,0.0,0.0,1.0000000000000002,58.0,130.0,,,
Siemens,ComBat-joint,,,,,,,5.363922674800577e-16,2.2760215897423083e-15,2.6858518351235022e-15
Siemens,CovBat,T2w_CSA,0.051261760284454054,0.051261760284454054,1.117074039438301,58.0,130.0,,,
Siemens,CovBat,GM_CSA_mm2,0.05360014210559154,0.05360014210559154,0.6846168611002329,58.0,130.0,,,
Siemens,CovBat,MTR,-0.0881471414022199,0.0881471414022199,0.45048681433964044,58.0,130.0,,,
Siemens,CovBat,MTsat,0.023715396105511502,0.023715396105511502,0.712563580895409,58.0,130.0,,,
Siemens,CovBat,FA,0.07882639912902131,0.07882639912902131,1.3052051628051238,58.0,130.0,,,
Siemens,CovBat,MD,-0.032839470129319134,0.032839470129319134,1.1740179860752862,58.0,130.0,,,
Siemens,CovBat,AD,0.010510808755210484,0.010510808755210484,0.9098356569416858,58.0,130.0,,,
Siemens,CovBat,RD,-0.06477913375895573,0.06477913375895573,1.3168275748978646,58.0,130.0,,,
Siemens,CovBat,,,,,,,0.050460031458785456,0.0881471414022199,0.15947390733375855
Siemens,RELIEF,T2w_CSA,0.534326411157732,0.534326411157732,1.295239126564985,58.0,130.0,,,
Siemens,RELIEF,GM_CSA_mm2,1.0760127788562246,1.0760127788562246,0.8888080579629614,58.0,130.0,,,
Siemens,RELIEF,MTR,0.15538091800762632,0.15538091800762632,0.4161823488959909,58.0,130.0,,,
Siemens,RELIEF,MTsat,-1.2559209339880144,1.2559209339880144,0.7617375391683597,58.0,130.0,,,
Siemens,RELIEF,FA,-1.8108053660442416,1.8108053660442416,1.691621501785556,58.0,130.0,,,
Siemens,RELIEF,MD,2.257922433932754,2.257922433932754,1.6816225154934723,58.0,130.0,,,
Siemens,RELIEF,AD,1.875743509166324,1.875743509166324,1.3227573756826334,58.0,130.0,,,
Siemens,RELIEF,RD,2.3759437195405484,2.3759437195405484,1.858941269940268,58.0,130.0,,,
Siemens,RELIEF,,,,,,,1.4177570088366833,2.3759437195405484,4.537129147157707
Siemens,LME,T2w_CSA,0.6102681451751084,0.6102681451751084,1.2822595934947194,58.0,130.0,,,
Siemens,LME,GM_CSA_mm2,0.9093766276979277,0.9093766276979277,0.8939989597601593,58.0,130.0,,,
Siemens,LME,MTR,0.2911237910899057,0.2911237910899057,0.4102597826311686,58.0,130.0,,,
Siemens,LME,MTsat,-1.2145215160558624,1.2145215160558624,0.732125036975716,58.0,130.0,,,
Siemens,LME,FA,-1.0746347645072871,1.0746347645072871,1.443864961697359,58.0,130.0,,,
Siemens,LME,MD,2.4650970779677173,2.4650970779677173,1.477353441984974,58.0,130.0,,,
Siemens,LME,AD,2.0571430653837233,2.0571430653837233,0.7814930792602436,58.0,130.0,,,
Siemens,LME,RD,2.4814592810729414,2.4814592810729414,2.0402783947663004,58.0,130.0,,,
Siemens,LME,,,,,,,1.3879530336188093,2.4814592810729414,4.514446795643061
