method,task,repeat,auc
LME,sex,5,0.6815649867374005
LME,sex,6,0.6876657824933686
LME,sex,7,0.668236074270557
LME,sex,8,0.6830901856763927
LME,sex,9,0.6747347480106102
LME,sex,10,0.6711538461538462
LME,sex,11,0.6779840848806367
LME,sex,12,0.6596816976127321
LME,sex,13,0.64184350132626
LME,sex,14,0.6642572944297083
LME,sex,15,0.6518567639257294
LME,sex,16,0.6385278514588859
LME,sex,17,0.66684350132626
LME,sex,18,0.6508620689655172
LME,sex,19,0.6820954907161805
Permutation,vendor,0,0.5124394568240004
Permutation,vendor,1,0.5444667671454838
Permutation,vendor,2,0.4241251404459117
Permutation,vendor,3,0.4383626510177258
Permutation,vendor,4,0.4716212414473799
Permutation,vendor,5,0.46220831078075225
Permutation,vendor,6,0.512236074824305
Permutation,vendor,7,0.4350582335144915
Permutation,vendor,8,0.536228121182435
Permutation,vendor,9,0.5212588963562411
Permutation,vendor,10,0.5492795720366401
Permutation,vendor,11,0.507977841210903
Permutation,vendor,12,0.5315202271085399
Permutation,vendor,13,0.4558733668329888
Permutation,vendor,14,0.46325429522571593
Permutation,vendor,15,0.5165028480333936
Permutation,vendor,16,0.52138969519807
Permutation,vendor,17,0.5107675974106046
Permutation,vendor,18,0.4640320422251106
Permutation,vendor,19,0.5152929898652008
