cohort,method,biomarker,n,vendor_F,vendor_p,vendor_eta2,vendor_ICC,age_R2,sex_R2,r_pre_post
HC,LME,AD,198,0.0464930696928119,0.954581754285378,0.0004766247174011,-0.0146588522349017,0.0196499655022753,0.0033837505657263,0.6038492360880403
HC,LME,RD,198,0.0345177464927007,0.9660770966021516,0.0003539028775681,-0.0148456894425017,0.0059591601100005,0.0076253530953765,0.8649949191088061
ALL,Original,T2w_CSA,267,5.844933146932036,0.0032822554798585,0.042402234260593,0.0516270083473376,0.0004185641908792,0.0856731387213811,1.0
ALL,Original,GM_CSA_mm2,267,27.060913871606544,2.0388272987571758e-11,0.1701292493104245,0.226496670282727,0.0027380323561831,0.0640659881953614,1.0
ALL,Original,MTR,254,27.54133601763569,1.5356409134682605e-11,0.1799601123088864,0.2386639034690818,0.0291661616642107,0.0012014643635683,1.0
ALL,Original,MTsat,249,69.33884935530658,1.3124598724158583e-24,0.3605036090614088,0.4515618405084061,0.0128450901298912,0.0060125291654744,1.0
ALL,Original,FA,260,50.90778465273152,2.373815567185085e-19,0.2837546026849986,0.3654254816372307,0.0039712718680129,0.0070791927761988,1.0
ALL,Original,MD,260,93.61024916771647,2.8839444660802806e-31,0.4214584852274462,0.5165765415848085,0.0008643687048512,0.0052818535464366,1.0
ALL,Original,AD,260,250.630610584396,4.1656678857166066e-61,0.6610666709239628,0.7422915006178724,0.000187641195863,0.0028128581348517,1.0
ALL,Original,RD,260,45.73271761321736,1.0206670372562568e-17,0.2624806536895115,0.3404332361096574,0.0031607641007039,0.0059341465872264,1.0
ALL,ComBat,T2w_CSA,267,0.0028505086956275,0.9971535808367772,2.159429652195361e-05,-0.0113308771879593,7.232416168856393e-05,0.0927494542896605,0.9732899449545356
ALL,ComBat,GM_CSA_mm2,267,0.0041148571522796,0.9958936611440442,3.117218850892359e-05,-0.0113163474737997,0.0002349825723698,0.0770967020020205,0.9109603486237206
ALL,ComBat,MTR,254,0.0748643586398085,0.9278900459860846,0.0005961731196937,-0.0110475128652784,0.0305606151758244,0.0033400952706337,0.8615420372432535
ALL,ComBat,MTsat,249,0.0054648750783914,0.99455015092392,4.442790475968982e-05,-0.0121276688869042,0.0032536816810259,0.006425848012513,0.7797055153828694
ALL,ComBat,FA,260,0.0218323245121168,0.9784060901263172,0.000169872496503,-0.0114153904783485,0.0146692624724432,0.0105320817083227,0.8252237830057966
ALL,ComBat,MD,260,0.0319484022545042,0.9685604022109888,0.0002485638991055,-0.0112960004892373,0.0152908686519918,0.0091013852358685,0.7345825015403131
ALL,ComBat,AD,260,0.0215276639462024,0.9787041669929212,0.0001675023969719,-0.0114189865208097,0.0136408939723305,0.008402720560252,0.5635676618007723
ALL,ComBat,RD,260,0.0320448249066667,0.96846703879703,0.000249313896393,-0.0112948626443293,0.0156916156172675,0.0084154628955129,0.8099192966638292
ALL,ComBat-joint,T2w_CSA,246,0.0022124484676051,0.997790017291515,1.8209120830149978e-05,-0.012318028376906,0.0003960204838574,0.1140809187940576,0.9742490216170804
ALL,ComBat-joint,GM_CSA_mm2,246,0.0099538009160388,0.990095977869882,8.191757633576581e-05,-0.0122212907504801,0.0001937636188124,0.0816645113737105,0.91588129967389
ALL,ComBat-joint,MTR,246,0.0426015261037186,0.9583003243525626,0.0003505069462789,-0.011813520986094,0.0003445877767875,0.0006197534543596,0.7995358062153064
ALL,ComBat-joint,MTsat,246,0.0619111449988346,0.939981225552281,0.0005092972331192,-0.0115724986217407,0.0001966471371513,0.0040203883967221,0.791924082440482
ALL,ComBat-joint,FA,246,0.0392444335486641,0.961521746496697,0.0003228951581159,-0.0118554358837728,0.0071177102140101,0.0102493313438053,0.8296552425871899
ALL,ComBat-joint,MD,246,0.0338807739071694,0.9666913177417118,0.0002787763682968,-0.0119224109331305,0.0384360749029651,0.0159980160196822,0.684233057925855
ALL,ComBat-joint,AD,246,0.0127071371215213,0.9873739137111454,0.000104574553731,-0.0121868889186408,0.0466192195404798,0.0159030941467552,0.5032583618160551
ALL,ComBat-joint,RD,246,0.0430342092785212,0.9578859196258104,0.0003540656160057,-0.0118081189834316,0.0307383740883806,0.0137148541508618,0.7972977028817531
ALL,CovBat,T2w_CSA,246,0.0129848241582915,0.9870997998171408,0.0001068595605406,-0.0121834194602761,0.0005346361374907,0.1211785095921926,0.9348134390836
ALL,CovBat,GM_CSA_mm2,246,0.0121681537758482,0.9879061807484254,0.0001001393848923,-0.0121936231153456,0.0001415336451119,0.0897716841234192,0.8557663794625965
ALL,CovBat,MTR,246,0.0105673401303549,0.989488752738418,8.696642902484986e-05,-0.0122136246215314,0.0001225772692476,0.0006058329042321,0.760579486343234
ALL,CovBat,MTsat,246,0.0525921990902059,0.9487776378365256,0.0004326703210414,-0.0116888032227602,0.0003803755851699,0.0040487463980284,0.7779978046345414
ALL,CovBat,FA,246,0.0484464133056904,0.9527175899190384,0.0003985769850233,-0.0117405530741683,0.0057455988614237,0.0110161290068655,0.8213270457589811
ALL,CovBat,MD,246,0.0511023450880685,0.950191627668218,0.0004204186066777,-0.0117073997448158,0.0399843873477077,0.0173258960771661,0.6774645878767894
ALL,CovBat,AD,246,0.0547188143282555,0.9467629854972706,0.0004501578783777,-0.0116622597610521,0.0528329911257857,0.0177353184632378,0.4846990159569261
ALL,CovBat,RD,246,0.0533871902195907,0.9480239963245596,0.0004392077543346,-0.0116788803354862,0.0306966319525892,0.0148947580251358,0.7900768624516119
ALL,RELIEF,T2w_CSA,246,0.0121576293251652,0.987916576932297,0.0001000527812389,-0.0121937546114344,0.0004325264544602,0.1245971290346164,0.9360822229606685
ALL,RELIEF,GM_CSA_mm2,246,0.0016336881981017,0.998367656509318,1.3445812607709663e-05,-0.0123252614341698,0.0002185406196856,0.0921071408105077,0.8592171379468658
ALL,RELIEF,MTR,246,0.0387539809033739,0.9619932916495008,0.0003188611009576,-0.0118615597091133,0.0003465527656992,0.0006232875572728,0.7935234463757505
ALL,RELIEF,MTsat,246,0.0441612713864485,0.956807317675706,0.0003633351937642,-0.0117940480056645,0.0002021877733728,0.0041336649483104,0.7811449968463222
ALL,RELIEF,FA,246,0.0358804024076362,0.96476077927934,0.0002952247705684,-0.0118974408966095,0.0071699712297728,0.0103245859482794,0.826475263918692
ALL,RELIEF,MD,246,0.0265464540696823,0.973805629359336,0.0002184416067457,-0.0120140076127041,0.0385538764669796,0.0160470478553461,0.6858577877864149
ALL,RELIEF,AD,246,0.0366259982545318,0.9640419401514873,0.000301357701464,-0.0118881307048274,0.0480204708156074,0.0163810993808891,0.4930129123422342
ALL,RELIEF,RD,246,0.0284227152133136,0.9719806411396316,0.000233877101161,-0.0119905738286606,0.0310359271032824,0.0138476164170062,0.8000932336096509
ALL,LME,T2w_CSA,267,0.0028260118115007,0.9971780077664556,2.140872204696328e-05,-0.0113311587068199,9.862386004533263e-07,0.0899512249551602,0.9788852289570692
ALL,LME,GM_CSA_mm2,267,0.0040610461854336,0.9959472509270368,3.0764554917850005e-05,-0.0113169658533358,0.0002167326020843,0.0788146305901014,0.911778066871576
ALL,LME,MTR,254,0.0739584225974171,0.9287305373367184,0.0005889630583159,-0.0110584507389986,0.0320866696445654,0.0014821351232873,0.9073379469271968
ALL,LME,MTsat,249,0.0053874625435294,0.9946271411556812,4.3798590083464665e-05,-0.0121286243286243,0.0029606093945555,0.0086760313326421,0.8035914840314707
ALL,LME,FA,260,0.0216741647657837,0.9785608206273766,0.0001686420979701,-0.0114172573041039,0.0106070886334533,0.0104707871528901,0.8433436680079377
ALL,LME,MD,260,0.0114585319143894,0.9886073720685894,8.916350374737735e-05,-0.011537851298618,0.0161349897256286,0.0104386159524346,0.7564797634633044
ALL,LME,AD,260,0.0131032641899827,0.986982869173862,0.0001019605305386,-0.0115184335416217,0.0104020425440609,0.0099869023154278,0.5778283344809685
ALL,LME,RD,260,0.0316150297285855,0.968883267599183,0.0002459708432145,-0.0112999345039627,0.0167557013206948,0.0089789681392277,0.8507154651711716
