subject,site,vendor,field_strength,n_slices_t2star,SC_CSA_t2star,GM_CSA_t2star,WM_CSA_t2star,GM_WM_ratio_t2star,GM_SC_frac_t2star,voxel_dx,voxel_dy,voxel_dz
sub-beijingGE02,beijingGE,GE,3T,15,70.6034,16.1036,54.9081,0.2933,0.2281,0.438,0.438,5.0
sub-beijingGE03,beijingGE,GE,3T,15,74.776,16.9586,58.4299,0.2902,0.2268,0.438,0.438,5.0
sub-beijingGE04,beijingGE,GE,3T,15,74.674,17.2393,58.0471,0.297,0.2309,0.438,0.438,5.0
sub-beijingPrisma01,beijingPrisma,Siemens,3T,15,67.1,14.8833,52.5833,0.283,0.2218,0.5,0.5,5.0
sub-beijingPrisma02,beijingPrisma,Siemens,3T,15,67.5167,15.8667,51.7833,0.3064,0.235,0.5,0.5,5.0
sub-beijingPrisma03,beijingPrisma,Siemens,3T,15,70.5,16.2333,54.4333,0.2982,0.2303,0.5,0.5,5.0
sub-beijingPrisma04,beijingPrisma,Siemens,3T,15,69.3167,14.6833,54.6667,0.2686,0.2118,0.5,0.5,5.0
sub-beijingPrisma05,beijingPrisma,Siemens,3T,15,75.0167,16.8667,58.2833,0.2894,0.2248,0.5,0.5,5.0
sub-beijingVerio01,beijingVerio,Siemens,3T,15,72.5,15.9667,57.0667,0.2798,0.2202,0.5,0.5,5.0
sub-beijingVerio02,beijingVerio,Siemens,3T,15,69.7667,15.3333,54.9333,0.2791,0.2198,0.5,0.5,5.0
sub-beijingVerio03,beijingVerio,Siemens,3T,15,71.3667,15.9167,55.55,0.2865,0.223,0.5,0.5,5.0
sub-beijingVerio04,beijingVerio,Siemens,3T,15,74.7167,16.9167,57.9,0.2922,0.2264,0.5,0.5,5.0
sub-brnoCeitec01,brnoCeitec,Siemens,3T,15,74.2667,16.5667,57.9667,0.2858,0.2231,0.5,0.5,5.0
sub-brnoCeitec02,brnoCeitec,Siemens,3T,15,77.1,16.65,60.5167,0.2751,0.216,0.5,0.5,5.0
sub-brnoCeitec03,brnoCeitec,Siemens,3T,15,72.9,15.0833,57.9167,0.2604,0.2069,0.5,0.5,5.0
sub-brnoCeitec04,brnoCeitec,Siemens,3T,15,73.9667,17.0,57.4333,0.296,0.2298,0.5,0.5,5.0
sub-brnoCeitec05,brnoCeitec,Siemens,3T,15,79.2167,18.4333,61.1833,0.3013,0.2327,0.5,0.5,5.0
sub-brnoCeitec06,brnoCeitec,Siemens,3T,15,75.5167,16.7833,58.9,0.2849,0.2222,0.5,0.5,5.0
sub-brnoUhb01,brnoUhb,Siemens,1.5T,15,80.8628,17.2648,63.8786,0.2703,0.2135,0.438,0.438,5.0
sub-brnoUhb02,brnoUhb,Siemens,1.5T,15,78.5786,15.4018,63.4576,0.2427,0.196,0.438,0.438,5.0
sub-brnoUhb03,brnoUhb,Siemens,1.5T,15,75.4268,15.6826,60.076,0.261,0.2079,0.438,0.438,5.0
sub-brnoUhb04,brnoUhb,Siemens,1.5T,15,70.0547,14.8531,55.3802,0.2682,0.212,0.438,0.438,5.0
sub-brnoUhb05,brnoUhb,Siemens,1.5T,15,81.6667,18.2474,63.9297,0.2854,0.2234,0.438,0.438,5.0
sub-brnoUhb06,brnoUhb,Siemens,1.5T,15,75.0057,15.8612,59.3487,0.2673,0.2115,0.438,0.438,5.0
sub-brnoUhb07,brnoUhb,Siemens,1.5T,15,70.9607,15.4273,55.6354,0.2773,0.2174,0.438,0.438,5.0
sub-brnoUhb08,brnoUhb,Siemens,1.5T,15,85.2396,16.5758,68.919,0.2405,0.1945,0.438,0.438,5.0
sub-cardiff01,cardiff,Siemens,3T,15,87.9,16.0667,71.9,0.2235,0.1828,0.5,0.5,5.0
sub-cardiff02,cardiff,Siemens,3T,15,87.4333,18.6333,69.2,0.2693,0.2131,0.5,0.5,5.0
sub-cardiff03,cardiff,Siemens,3T,15,77.7167,16.6833,61.3333,0.272,0.2147,0.5,0.5,5.0
sub-cardiff04,cardiff,Siemens,3T,15,83.5333,17.85,65.8833,0.2709,0.2137,0.5,0.5,5.0
sub-cardiff05,cardiff,Siemens,3T,15,74.5333,17.4167,57.2833,0.304,0.2337,0.5,0.5,5.0
sub-cardiff06,cardiff,Siemens,3T,15,79.7333,17.3,62.6333,0.2762,0.217,0.5,0.5,5.0
sub-cmrra01,cmrra,Siemens,3T,15,78.1167,16.9333,61.4167,0.2757,0.2168,0.5,0.5,5.0
sub-cmrra02,cmrra,Siemens,3T,15,84.2167,17.0,67.4833,0.2519,0.2019,0.5,0.5,5.0
sub-cmrra03,cmrra,Siemens,3T,15,70.8667,16.6333,54.4667,0.3054,0.2347,0.5,0.5,5.0
sub-cmrra04,cmrra,Siemens,3T,15,75.0167,16.1667,59.0833,0.2736,0.2155,0.5,0.5,5.0
sub-cmrra05,cmrra,Siemens,3T,15,68.7167,14.55,54.3,0.268,0.2117,0.5,0.5,5.0
sub-cmrra06,cmrra,Siemens,3T,15,74.2333,15.7,58.8,0.267,0.2115,0.5,0.5,5.0
sub-cmrrb01,cmrrb,Siemens,3T,15,74.0667,16.3,58.1333,0.2804,0.2201,0.5,0.5,5.0
sub-cmrrb02,cmrrb,Siemens,3T,15,82.5833,16.8833,65.9,0.2562,0.2044,0.5,0.5,5.0
sub-cmrrb03,cmrrb,Siemens,3T,15,79.5833,16.6,63.3167,0.2622,0.2086,0.5,0.5,5.0
sub-cmrrb04,cmrrb,Siemens,3T,15,78.2667,16.9167,61.5833,0.2747,0.2161,0.5,0.5,5.0
sub-cmrrb05,cmrrb,Siemens,3T,15,77.2167,15.6667,61.8833,0.2532,0.2029,0.5,0.5,5.0
sub-cmrrb06,cmrrb,Siemens,3T,15,81.95,16.8667,65.4833,0.2576,0.2058,0.5,0.5,5.0
sub-cmrrb07,cmrrb,Siemens,3T,15,77.1333,17.2,59.9667,0.2868,0.223,0.5,0.5,5.0
sub-dresden01,dresden,Siemens,3T,15,77.15,16.5667,60.8167,0.2724,0.2147,0.5,0.5,5.0
sub-dresden02,dresden,Siemens,3T,15,78.8833,15.1667,64.1167,0.2365,0.1923,0.5,0.5,5.0
sub-fslAchieva01,fslAchieva,Philips,3T,15,78.6,3.8833,74.7167,0.052,0.0494,0.5,0.5,5.0
sub-fslAchieva02,fslAchieva,Philips,3T,15,73.0667,11.4667,61.6,0.1861,0.1569,0.5,0.5,5.0
sub-fslAchieva03,fslAchieva,Philips,3T,15,65.5833,13.4,52.1833,0.2568,0.2043,0.5,0.5,5.0
sub-fslAchieva04,fslAchieva,Philips,3T,15,75.0833,3.25,71.8333,0.0452,0.0433,0.5,0.5,5.0
sub-fslAchieva05,fslAchieva,Philips,3T,15,70.8,13.9833,56.8167,0.2461,0.1975,0.5,0.5,5.0
sub-fslAchieva06,fslAchieva,Philips,3T,15,83.6333,15.8,67.8333,0.2329,0.1889,0.5,0.5,5.0
sub-fslPrisma01,fslPrisma,Siemens,3T,15,84.5667,16.55,68.1167,0.243,0.1957,0.5,0.5,5.0
sub-fslPrisma02,fslPrisma,Siemens,3T,15,82.2167,17.0333,65.3167,0.2608,0.2072,0.5,0.5,5.0
sub-fslPrisma03,fslPrisma,Siemens,3T,15,87.2667,17.8,70.1,0.2539,0.204,0.5,0.5,5.0
sub-fslPrisma04,fslPrisma,Siemens,3T,15,84.7833,18.55,66.7,0.2781,0.2188,0.5,0.5,5.0
sub-fslPrisma05,fslPrisma,Siemens,3T,15,76.4333,16.8167,59.75,0.2815,0.22,0.5,0.5,5.0
